,caption,class
0,"A rumbling, click, coughing, whistle and man speaking",0
1,"A man is speaking with occasional sound effects, squeaks, coughs, and beeps.",0
2,"The sound of coughing, a woman speaking, music, a man speaking, breathing, a child speaking, and mechanisms can be heard.",0
3,"A person coughs, crinkling plastic and breathing",0
4,Men speak with coughs and an air horn sounds.,0
5,"Wind, people speaking and making noise, beeping sounds, coughing and more can be heard.",0
6,Someone is coughing several times.,0
7,"Subway riders cough and speak, with child's voice.",0
8,"A man is speaking, people are having a conversation, music is playing, and human sounds are heard, including coughing and footsteps.",0
9,"A person is gasping, coughing, and speaking with a speech synthesizer and music in the background.",0
10,"People are talking with a background noise, coughing, and making surface contact.",0
11,"People sing, scream, and cough over background noise.",0
12,"A person is breathing, mechanisms are making ticking sounds, a man is speaking several times, and someone is coughing.",0
13,Someone's inhale to cough is slowed down and reversed.,0
14,"Buzzing, water, and mechanisms are heard, with a man speaking and coughing.",0
15,"Shouting, waterfalls, child speaking, coughing, and shouting are heard.",0
16,A man speaks and an animal coughs,0
17,Mechanisms are making sounds and people are coughing.,0
18,A sick woman is coughing.,0
19,"A bird sings, people walk and cough, a man speaks, and an animal makes noise.",0
20,A girl is having a coughing fit.,0
21,A baby is gurgling and coughing.,0
22,"Someone is coughing a number of times, making loud variations in coughs.",0
23,several men and women speaking in a noisy background and someone coughing,0
24,"People cough, speak, and music is heard with a bang.",0
25,Someone is coughing and speaking.,0
26,"Bells ring as a man speaks, coughs, and breathes.",0
27,Women speak and cough in a conversation.,0
28,Music plays while people speak and cough.,0
29,"Mechanisms, surface contact, people talking and coughing, are heard.",0
30,Typing on a computer keyboard followed by clothes rustling then a person coughing,0
31,"Wind, a child speaking and a cough",0
32,A person trying to use a lighter multiple times to light a cigarette and then inhaling and coughing.,0
33,"Background noise, human sounds, music, coughing, and mechanisms are heard.",0
34,Animals and a person are coughing.,0
35,Mechanics whir while men speak and cough.,0
36,"A person coughs and sanding, tapping, and mechanisms are heard.",0
37,Someone is coughing and panting.,0
38,Children speak and mechanisms make coughing sounds while choir music plays.,0
39,Someone is coughing badly.,0
40,"People are talking, clicking of poker chips, and some coughs are heard.",0
41,"Bells, birds, and someone coughing are heard.",0
42,"A person coughs, and a man begins to speak as an engine is heard approaching",0
43,Someone coughed really hard.,0
44,Train announcements and a cough are heard.,0
45,"A person burps loudly and then coughs several times, after which a person speaks",0
46,"People cough, talk, hear a train horn, the sound of wind and crows, and a child speaks.",0
47,Children and women speak amidst background chatter and coughing.,0
48,"Mechanisms whir, people cough, breathe, and make human sounds, with a phone buzzing and clicking in the background.",0
49,"Bird calls, coughing, breathing, and finger snapping are heard while people speak.",0
50,People cough repeatedly.,0
51,Someone is coughing and leaving the bathroom.,0
52,"Narration, speech, man speaking, whimpering, crying, coughing, and whimpering.",0
53,Background noise and speech with coughing and human sounds are heard.,0
54,"People coughing, talking, and a child speaking are heard amidst mechanisms and wind noise.",0
55,"A man speaks, a vehicle passes by, wind noise, bird sounds, breathing, and coughing can be heard.",0
56,People are coughing and talking in the background.,0
57,"A printer, coughing, and a man speaking can be heard.",0
58,"People are coughing, mechanisms are ticking, and human sounds are heard.",0
59,"A person is crying and birds are chirping, amidst human voices and coughing sounds.",0
60,"A woman is speaking, with coughing, ticking, and mechanisms sounds.",0
61,A man speaks while coughing and breathing heavily.,0
62,Children speaking and one coughs,0
63,"Insects are buzzing, water is flowing, and people are talking, coughing, and breathing.",0
64,A baby boy is coughing and fidgeting.,0
65,Someone is coughing in an outdoor field.,0
66,"A telephone bell is ringing, people are coughing and speaking, and a busy signal is heard.",0
67,"Birds are chirping outside, a car passes by and a woman coughs",0
68,Background noise and people coughing and speaking can be heard.,0
69,"A television is on, then some mechanisms, then music, then coughing, then a child speaking, then breathing, then a caw, then a man speaking.",0
70,"A man narrates in a large, echoing space, and people in the background talk and cough",0
71,"Mechanisms, coughing, breathing, and women speaking can be heard, along with the sounds of a television and conversation.",0
72,Someone is imitating a coughing noise.,0
73,A young adult woman is coughing.,0
74,People are coughing with background noise in the background.,0
75,"People are coughing, breathing and making sounds, with mechanisms in the background.",0
76,"Chains are rattling while a horse is moving, then a man coughs.",0
77,"A child speaks, coughs, and chews while others talk and scrape.",0
78,"People clap, speech noise is heard, whistling, a squeak, barking, coughing, and more.",0
79,An adult female is coughing with phlegm and mucous.,0
80,"A crying baby, coughing, breathing, and background noise are heard intermittently.",0
81,A baby is coughing.,0
82,"A large group of people talk, cough, and clank dishes together in a room that echoes.",0
83,"Coughing and speaking men with breathing, beeps, and human sounds in the background.",0
84,Man coughing around many birds cooing like dove,0
85,"Heavy winds and water splashes continue with light conversation at a distance, and then a man coughs.",0
86,"Coughing, video game sounds, wind, ticking, and female speech are heard.",0
87,"Footsteps are heard, followed by people speaking, coughing, doorbells ringing, and more.",0
88,A high-pitched female cough is heard.,0
89,"People talk and run while music plays and animals cough, whinny, and neigh.",0
90,A plastic thud on a soft surface as a truck engine runs idle before accelerating followed by a woman coughing,0
91,Mechanisms are functioning and a man is speaking and coughing.,0
92,"Mechanisms are heard, a man is speaking, breathing and coughing are heard, and a ticking sound is present.",0
93,"Music, mechanisms, coughing, singing, breathing, crying, speaking, chewing, human sounds, and more are heard.",0
94,"Mechanisms, coughing, breathing, crying, and a woman speaking are heard.",0
95,Someone is coughing into their hands.,0
96,Someone is coughing while sleeping.,0
97,"A baby coughs sharply and intermittently prior to pausing to rest, cooing, and coughing once more.",0
98,"Human voices, background noise, coughing, scraping, and surface contact are heard.",0
99,"People are clapping, speaking, giggling, and coughing with music in the background.",0
100,"A man speaks, hubbub is present, a bell rings, and coughing and breathing are heard.",0
101,People are breathing and coughing.,0
102,"Heavy wind and water splashes continue with light conversation from a distance, and then a man coughs.",0
103,Baby is coughing.,0
104,"People are coughing, breathing, speaking, and a child is speaking.",0
105,A male voice is making dry coughing sounds.,0
106,A male is coughing.,0
107,Someone is coughing in a library.,0
108,"Kids and adults are conversing, water is flowing, and people are coughing and speaking.",0
109,"People speak and cough amidst television, surface contact, and mechanical sounds.",0
110,Background noise and human sounds with a man speaking and coughing.,0
111,"A woman speaks, coughs, and a child and baby speak and cry while human sounds occur.",0
112,Someone is shoveling snow and coughing.,0
113,A man talks and someone coughs,0
114,"A dog barks, human voice can be heard, footsteps and clicking noises, coughing, and music play.",0
115,"A man is speaking while coughing, walking, and rustling is heard.",0
116,A man is speaking and coughing with music and television in the background.,0
117,"A man is speaking, with background noise, thumping, giggling, coughing, male singing, and music in the background.",0
118,Someone is making a sound of coughing and having a cold.,0
119,"A humming motor, numerous people chattering while a man coughs.",0
120,"A siren, heavy engine, and female speech are heard with taps and a cough in the background.",0
121,"People are making sounds, coughing, and talking while breathing can be heard.",0
122,"Monks are entering a house chapel, and there is occasional coughing and movement.",0
123,Someone is coughing from the flu.,0
124,It is calm in a city with some coughing people.,0
125,"Background noise, a woman is speaking, people are coughing, bird is chirping.",0
126,"Men are speaking, coughing, and making sounds while others are in the background.",0
127,A female is coughing.,0
128,"People cough, speak, and listen to music over background noise.",0
129,"Humming from a motor, numerous people chattering while a man coughs.",0
130,"People are crying, breathing, speaking, coughing, and making human sounds.",0
131,"With increasing speed, the trotting of horse feet and the jangle of their equipment pass by, followed by a cough.",0
132,"Children speak, cough, and make noises, with background noise.",0
133,An old man is coughing as he walks along a street.,0
134,"A person coughs, a narrator speaks, ticks and background noise are heard, and children speak and breathe.",0
135,A girl is coughing.,0
136,"Birds are chirping and singing, with occasional coughing and movement.",0
137,"People are coughing and talking, a child is speaking, and mechanisms and ticks are heard.",0
138,"Coughing, breathing, and female speech are heard.",0
139,"People are coughing, making noises, and speaking, with mechanical sounds and surface contact.",0
140,A baby is coughing and cooing and moaning.,0
141,"A child speaks, coughs, and a woman speaks in the background with taps and shouting children.",0
142,"A man coughs, speaks, and cooking sounds are heard with ticking mechanisms.",0
143,A person coughs nearby as frogs rabbit in the distance,0
144,"A baby is crying, television is on, people are speaking and coughing, and a woman is breathing.",0
145,"Men and children speak while coughing, slapping, and crying are heard.",0
146,"Various sounds of a person crying, coughing, and speaking can be heard in a small room.",0
147,A baby cries then coughs a few times thereafter,0
148,"A sine wave and mechanisms are heard, people are talking and coughing, with ticks and breathing in the background.",0
149,"A woman is speaking, narration and clicking sounds are heard, coughing and breathing are heard.",0
150,"Accelerating car sounds, male speech, and coughs.",0
151,"A man speaks, mechanical sounds are made, ticks are heard, people breathe, and someone coughs.",0
152,"A female voice is speaking, narrating, coughing, and speaking again over mechanisms.",0
153,"People burp, cough, and listen to music.",0
