,caption,class
0,Waves are lapping on the shore.,0
1,Waves are lapping against the rocks on a calm day and people are on the beach in the distance.,0
2,Waves are breaking on the beach. Faint birds can be heard at times.,0
3,The sea is breaking on a beach and birds are calling.,0
4,Several waves of water in a lake on the shore,0
5,Waves are crashing on the beach with seagulls crying in the distance.,0
6,Waves are washing up on the beach.,0
7,"An animal is eating, sniffing, and moving in a tree. Waves are breaking on a beach in the background.",0
8,Sea waves are breaking on the shore.,0
9,Waves are crashing over the sand on a beach.,0
10,An adult seal is making growls and other calls on a beach. Birds are in the background. The surf is prominent.,0
11,A rock is bouncing on the shore of a lake.,0
12,The sea is breaking on the beach in a moderate way.,0
13,A bird is making calls and flying. The surf is breaking on the shore.,0
14,Children are strolling on the beach.,0
15,Waves against rocks and people on the beach.,0
16,The waves on the beach are crashing. Silver gulls are calling.,0
17,Waves are splashing on the beach with wind.,0
18,The sound of water lapping on the shore and ice slush in the water is present.,0
19,Waves are lapping on a beach. Gulls are making faint calls in the background.,0
20,Sea gulls make calls to each other on the beach.,0
21,Ocean wave breaking on the beach.,0
22,Gentle waves are on the beach.,0
23,Waves crash onto an ocean beach with lots of lapping at the shore,0
24,Voices of rumplings and sunbathers are heard on the beach.,0
25,Waves crash against the shore repeatedly on the beach.,0
26,Small waves lapping on the shore of a lake.,0
27,Waves are crashing on the beach and rocks.,0
28,The sun is setting on the beach.,0
29,Wind and waves are breaking on the beach.,0
30,A turtle is breathing on a beach. Waves are breaking in the background.,0
31,Crickets and waves are lapping on a shore in the distance.,0
32,The waves roll in and out on the beach while the wind blows.,0
33,Waves are heard on the shore near a port.,0
34,Waves are making sound on the sand at the beach.,0
35,The sound of waves on a beach is happening.,0
36,The sound of waves and wind is being recorded on a beach.,0
37,Bubbles are coming from the sand on the beach.,0
38,Waves are breaking on the shore. Gulls are calling and crickets are buzzing. Jackdaws are making flight calls.,0
39,Several birds are flying and calling. The surf is heavy on the beach.,0
40,"A flock of birds, including seagulls, fly around at the beach as waves crash on shore.",0
41,Sea is breaking on a beach below a cliff-top facing a cliff-face. Herring gulls are calling. Wind is rustling vegetation on the cliff-edge.,0
42,Waves are hitting rocks and pebbles on the beach.,0
43,Raw walking on seashells on the beach.,0
44,Water is bumping inside a rock formation on the beach.,0
45,MC colony calls and waves breaking on the beach are heard.,0
46,waves pushing up on shore at the beach,0
47,People are on the beach with canoe riders bringing their canoe onto the beach.,0
48,The wind is intense as the faint waves crash on the beach,0
49,"On the beach, wind blows at a steady pace.",0
50,The waves of the ocean are rolling in and breaking on the shore.,0
51,A bird gives out a call at regular intervals while in between the waves break on the shore.,0
52,People walk on a beach as ocean waves break on the shore.,0
53,Heavy waves are breaking on the beach.,0
54,Waves are breaking on the beach.,0
55,The wind is blowing on the beach.,0
56,The sea is breaking on the shore.,0
57,Seagulls are cawing and chirping as wave crash on the shore.,0
58,Waves are crashing then receding on the beach.,0
59,It is windy on the beach.,0
60,The rocks on the beach are being pounded with waves.,0
61,Someone is skipping stones at the beach.,0
62,Barnacles are making popping and rubbing sounds on a beach with ocean sounds in the background.,0
63,Birds are singing on the shore of the lake.,0
64,Birds are chirping over the sea. The seawash is breaking on the shore.,0
65,Calm waves are breaking back and forth on the beach.,0
66,Water is moving around at a river near where kids play on the beach.,0
67,The sound of wind is heard on a beach.,0
68,Sounds of someone standing in water then standing on a beach.,0
69,A male utters and waves crash on the beach,0
70,Water is lapping at boats on the beach.,0
71,There is wind and surfing waves on the beach.,0
72,Calls on a shore with distant traffic and other birds.,0
73,A woman is breathing on the beach with waves in the background.,0
74,A musical loop makes you feel like you're on the beach.,0
75,Distant birds and ocean sounds are heard on the beach.,0
76,Someone is playing with an object on the shore with water sounds.,0
77,Waves and bubbles recorded on the shore.,0
78,A cub is calling and waves are breaking on a beach in the background.,0
79,Waves are crashing on the shore at a lake.,0
80,The sea is breaking on a beach below a cliff. Seagulls are calling. Raven birds are calling at the end of the recording.,0
81,The ocean is breaking on the shore.,0
82,the waves as they come on the shore and then recede,0
83,The sea is lapping on a beach.,0
84,People are on the beach and waves are over the sand.,0
85,Bulls are making calls. Females are in the background. The surf is on the beach.,0
86,"""Waves are crashing on the shore of a lake."".",0
87,Several grey gulls are making distant calls over the sea. Seawash and waves are breaking on the shore.,0
88,Kids are making sounds on the beach.,0
89,A female and pup Elephant Seals are making calls. A colony is in the background. Waves are breaking on a shore.,0
90,Water is lapping on the shore.,0
91,Grey gulls are making distant calls over the sea. Seawash and waves breaking on the shore are heard.,0
92,The sound of surf breaking on a beach is heard. Distant calls from birds are heard in the background.,0
93,Waves break on the beach,0
94,Large and small waves make their surf noises on the beach.,0
95,Vendors announcing drinks on the beach with the background noise of the sea and people.,0
96,Ocean waves are breaking on the beach with crickets in the background and wind noise.,0
97,Ocean waves are breaking through rocks on the beach.,0
98,A helicopter is flying on the beach.,0
99,Birds are calling and making sounds. Waves are breaking on the shore.,0
100,Someone is recording the sound of lapping waves on a beach.,0
101,Someone is falling asleep on the shores of a lake.,0
102,Waves are crashing on the shore of a lake.,0
103,Waves are hitting smoothly on the shore.,0
104,Birds are making calls. There are also eiders and waves breaking on the shore.,0
105,The sound of the tide moving over pebbles on the beach is being recorded.,0
106,Seagulls are making noise on the beach with water lapping and wind.,0
107,The surf and sea lions are making sounds on a beach.,0
108,"A ride on a bus is being recorded, with conversation and the sound of a concourse.",1
109,"A man plays drums on a bus, then laughs.",1
110,The built in microphone is pressed against various surfaces on a bus.,1
111,People are mumbling on the bus.,1
112,The window was wound down on the bus while the bus moved along the road.,1
113,Water coming out of a gutter on the front of a business.,1
114,A signal is announcing the next stop on the bus with a synthetic voice and background noise.,1
115,Tour group is singing on the bus.,1
116,People are coughing and talking on a bus with the bus motor voice.,1
117,Women converse casually amid the chatter of a bustling crowd.,1
118,Someone is replicating the sound of a bus door with an aerosol deodorant.,1
119,A man is speaking in a business tone and then rattles and stirring,1
120,Someone is on a bus and recording their soundwalk.,1
121,"Songbirds are in the bushes, calls from white terns, and the surf is in the background.",1
122,People are getting on the bus.,1
123,they are playing sports at bus,1
124,a small sound of bus,1
125,this is a clear sound of bus,1
126,people are gathering at bus,1
127,this is a fading sound at bus,1
128,bus sound can be heard,1
129,a snippet of the bus sound,1
130,a sound at bus,1
131,this is a repetitive sound of bus,1
132,this is a sound at bus,1
133,they are having fun at bus,1
134,pets making sound in bus,1
135,bus is quiet,1
136,animal sounds in bus,1
137,driving cars on bus,1
138,sound on bus,1
139,a blend of bus sounds,1
140,a noisy bus sound,1
141,human activity sound in bus,1
142,bus sound is being recorded,1
143,people are chatting on bus,1
144,a sound of bus,1
145,tourists are shopping in bus,1
146,a recording of bus,1
147,sound in the bus,1
148,the sound of bus,1
149,bus is playing music,1
150,this is a sound in bus,1
151,a loud sound of bus,1
152,someone is doing some cleaning in bus,1
153,family are watching TV at bus,1
154,some noise in bus,1
155,cars horn in bus,1
156,some noise at the bus,1
157,silence in bus,1
158,the sound of bus,1
159,a clear sound of bus,1
160,this is an annoying sound in bus,1
161,people are travelling on bus,1
162,this is a continuous sound in bus,1
163,children are playing in bus,1
164,bus,1
165,this is a sound on bus,1
166,a poor quality recording of bus,1
167,bus sound in a video,1
168,this is a sound of bus,1
169,people are talking on bus,1
170,they are buying food at bus,1
171,people are eating at bus,1
172,Chair is being pulled in a dining room with the front door open.,2
173,Someone is drying their hands in a coffee shop bathroom.,2
174,"A fountain is in front of a town hall, the town hall clock is striking and people are talking at a restaurant terrace.",2
175,"Ambient atmospheric sound is heard in a coffee shop/cafe with female voices, chinking cups and spoons, and the sounds of a grinder and coffee machine.",2
176,General chatter from older people is heard in a cafe atmosphere. The sound of an espresso machine is heard occasionally.,2
177,Someone is playing the piano in a restaurant.,2
178,People are in the city and on a cafe terrace with birds.,2
179,Waterfront sounds and the inside of a restaurant are being recorded.,2
180,a recording of cafe or restaurant,2
